model,group,comment_count,exact_match_accuracy,micro_recall,micro_f1,false_negative_comment_rate
baseline,single_label,1220,0.15901639344262294,0.22049180327868853,0.33292079207920794,0.7795081967213114
baseline,multi_label,2024,0.2756916996047431,0.5866074478988725,0.7249313911758497,0.6640316205533597
threshold_tuned,single_label,1220,0.2081967213114754,0.43524590163934423,0.4825079509313948,0.5647540983606557
threshold_tuned,multi_label,2024,0.3107707509881423,0.7892039631021524,0.809886931369971,0.3700592885375494
class_weight_balanced,single_label,1220,0.21885245901639344,0.6598360655737705,0.5411764705882353,0.3401639344262295
class_weight_balanced,multi_label,2024,0.26679841897233203,0.8975059788179023,0.8207451378583145,0.19466403162055335
