model,micro_f1,macro_f1,weighted_f1,hamming_loss,exact_match_accuracy,macro_roc_auc,average_predicted_labels
baseline,0.6609579876906609,0.45679065319745477,0.651148468622832,0.019849600501331662,0.9185336048879837,0.9763449120447801,0.12962556791477362
threshold_tuned,0.7260167759216184,0.5998028474586318,0.734441584404111,0.020298710115410727,0.9124236252545825,0.9763449120447801,0.22287325708914305
class_weight_balanced,0.6852040239629252,0.5629046668618503,0.7044074535282677,0.029087680818841714,0.8805577314742284,0.9780306471444996,0.3327588908036973
