model,micro_f1,macro_f1,weighted_f1,hamming_loss,exact_match_accuracy,macro_roc_auc
baseline,0.6609579876906609,0.4567906531974547,0.651148468622832,0.0198496005013316,0.9185336048879836,0.97634491204478
threshold_tuned,0.7260167759216184,0.5998028474586318,0.734441584404111,0.0202987101154107,0.9124236252545824,0.97634491204478
class_weight_balanced,0.6852040239629252,0.5629046668618503,0.7044074535282677,0.0290876808188417,0.8805577314742284,0.9780306471444996
distilbert,0.7955043059407386,0.6359931811886445,0.7872503733324346,0.0146326178912736,0.929280902396992,0.9910251281761124
