model,group,comment_count,exact_match_accuracy,micro_recall,micro_f1,false_negative_comment_rate
baseline,single_label,1220,0.1590163934426229,0.2204918032786885,0.3329207920792079,0.7795081967213114
baseline,multi_label,2024,0.2756916996047431,0.5866074478988725,0.7249313911758497,0.6640316205533597
threshold_tuned,single_label,1220,0.2081967213114754,0.4352459016393442,0.4825079509313948,0.5647540983606557
threshold_tuned,multi_label,2024,0.3107707509881423,0.7892039631021524,0.809886931369971,0.3700592885375494
class_weight_balanced,single_label,1220,0.2188524590163934,0.6598360655737705,0.5411764705882353,0.3401639344262295
class_weight_balanced,multi_label,2024,0.266798418972332,0.8975059788179023,0.8207451378583145,0.1946640316205533
distilbert,single_label,1220,0.3295081967213115,0.5459016393442623,0.5839544059622972,
distilbert,multi_label,2024,0.4555335968379446,0.8172189955585925,0.8667451761934958,
