model,label,precision,recall,f1,false_positive,false_negative
distilbert,toxic,0.8514784946236559,0.8291884816753927,0.8401856763925729,442,522
distilbert,severe_toxic,0.6,0.2336448598130841,0.336322869955157,50,246
distilbert,obscene,0.8481613285883749,0.8338192419825073,0.8409291384886798,256,285
distilbert,threat,0.58,0.3918918918918919,0.46774193548387094,21,45
distilbert,insult,0.7816813048933501,0.7719950433705081,0.7768079800498753,348,368
distilbert,identity_hate,0.6903553299492385,0.46258503401360546,0.5539714867617108,61,158
