label,selected_threshold,default_precision,default_recall,default_f1,tuned_precision,tuned_recall,tuned_f1
toxic,0.28896676030920415,0.9282894736842106,0.5637235317618857,0.7014665672383793,0.8103837471783296,0.7171394326807831,0.7609156422212802
severe_toxic,0.09073289507215654,0.5909090909090909,0.20553359683794467,0.30498533724340177,0.4004739336492891,0.6679841897233202,0.5007407407407407
obscene,0.22164052880472151,0.9259681093394078,0.5917030567685589,0.7220248667850799,0.8369652945924132,0.754730713245997,0.7937236892460773
threat,0.07442598199671305,1.0,0.08571428571428572,0.15789473684210525,0.5538461538461539,0.5142857142857142,0.5333333333333333
insult,0.17899185713461624,0.8600269179004038,0.48778625954198473,0.622503653190453,0.6827057182705718,0.7473282442748092,0.7135568513119533
identity_hate,0.07661660982461442,0.6097560975609756,0.11363636363636363,0.19157088122605365,0.3547400611620795,0.5272727272727272,0.42413162705667273
