label,precision,recall,f1,true_positive,false_positive,false_negative,true_negative,false_positive_rate,false_negative_rate,positive_count_in_validation,roc_auc
toxic,0.9212152420185376,0.5854057591623036,0.7158863545418167,1789,153,1267,28706,0.005301639003430472,0.41459424083769636,3056,0.9702314536973322
severe_toxic,0.5964912280701754,0.2118380062305296,0.31264367816091954,68,46,253,31548,0.0014559726530353864,0.7881619937694704,321,0.9759971578656542
obscene,0.9275766016713092,0.5825072886297377,0.7156160458452722,999,78,716,30122,0.0025827814569536426,0.4174927113702624,1715,0.9822937366053328
threat,0.8571428571428571,0.08108108108108109,0.14814814814814814,6,1,68,31840,3.140604880499984e-05,0.918918918918919,74,0.9862369357203062
insult,0.850635593220339,0.49752168525402723,0.6278342455043002,803,141,811,30160,0.004653311771888716,0.5024783147459727,1614,0.9764503868599347
identity_hate,0.7307692307692307,0.1292517006802721,0.21965317919075145,38,14,256,31607,0.0004427437462445843,0.8707482993197279,294,0.9670674379615545
