label,precision,recall,f1,true_positive,false_positive,false_negative,true_negative,false_positive_rate,false_negative_rate,positive_count_in_validation
toxic,0.92125579001544,0.5857329842931938,0.7161432286457291,1790,153,1266,28706,0.005301639003430472,0.4142670157068063,3056
severe_toxic,0.5964912280701754,0.2118380062305296,0.31264367816091954,68,46,253,31548,0.0014559726530353864,0.7881619937694704,321
obscene,0.9276437847866419,0.5830903790087464,0.7160759040458289,1000,78,715,30122,0.0025827814569536426,0.41690962099125367,1715
threat,0.8571428571428571,0.08108108108108109,0.14814814814814814,6,1,68,31840,3.140604880499984e-05,0.918918918918919,74
insult,0.8515376458112407,0.49752168525402723,0.6280797809933516,803,140,811,30161,0.00462030956074057,0.5024783147459727,1614
identity_hate,0.7307692307692307,0.1292517006802721,0.21965317919075145,38,14,256,31607,0.0004427437462445843,0.8707482993197279,294
